Question,Answer
We can learn from the study published on the Nature website that     .,scientists should improve the design of the experiments
People like swimming in summer because,they feel cool in the water
Which of the following is NOT true about Chinese people ?    ,Many Chinese like to go to Southeast Asia in winter for sightseeing .
What is true according to the passage ?,Men were more affected than women .
Which is NOT true according to the passage ?,The author often gives more carrots to his wife to eat at home .
The writer thinks people who come from different countries have,the same feeling of melodies and words
Which of the following is true ?,Humans may not perceive what we convey through language .
Which of the following is true according to the passage ?,Indians often catch the monkeys in this way .
What kind of people is the passage intended for ?,people recruiting employers
The purpose of the passage meant to,sell the four books to readers
Which of the following is NOT well accepted by British people ?,Scuba diving .
In what way is Ricci quite different from other artists ?,He cares little about fame .
The Food Commission is angry because it thinks that,people waste energy buying food from other countries
What do we know about the brothers ?,They finally realized their mistakes .
The example of sleep math is used to show,how you build up your sleep debt
Which of the following is TRUE about Susan Boyle ?,tell us how Boyle 's dream came true
How can a participant get a free meal ?,By cycling to produce some electricity .
What 's the author 's sleep pattern ?,Going to bed when sleepy and getting up at a fixed early time .
Most Japanese high school students often have their lunch,in homeroom classrooms
Volunteers for the Peace Corps can,contribute to lives in developing countries and develop themselves
The text mainly tells us,weight - loss pills are very popular in theUSA
"In which statement does "" white "" have a negative meaning ?",A man whitewashes his crime .
We   learn that the big strong tree and the thin young one are like,parents and their children
Who invented the tea bag ?,Thomas Sullivan .
"According to the passage , who tend to require more personal space ?",People living in Wyoming and people living in Montana .
What is the popular image of the teenagers today ?,They quarrel a lot with other family members .
Which of the following moved the author ?,The homeless man bought food for a dog with all his money .
"According to Benjamin Franklin , what was the cause of over - seriousness ?",The fact that things fail to meet people 's expectations .
In which order will you eat or drink the following things at a meal ?,"Soup , meat with vegetables , dessert and coffee ."
The title of the passage is,The Language of the Deaf .
What can be learned about the study between 2005 and 2008 from the passage ?,Most women allowed their children to watch TV .
Which of the following might the author disagree ?,Wealth will surely bring the owner happiness .
What can we learn about a spa ?,It provides more services than before .
The text is mainly about,the growth of a disabled child prodigy
Which of the following is NOT mentioned in the passage ?,Mary 's brother often played with her in the garden .
Which of the following is NOT true ?,The purpose of a test is to show what you are good at .
We can learn from the passage that    ,thatched cottages in England have been passed down from ancient times
What 's the passage about ?,How to eat .
Which piece of advice is NOT given by the author ?,Do the same team sports as your classmates .
Which of the following is NOT mentioned as a reason for airline delays ?,A growing population .
When did the drop of water fall on the ant ?,When it was nearly dying .
"In the writer 's opinion , the most effective way in learning English is","to practise speaking , writing and feeling it"
Which of the following sentences can be added to the end of the story ?,""" Do n't be angry . You think you 're changed , do you ? "" said the Caterpillar ."
What does the story tell us ?,The greedy   dog gets nothing at last .
What can we learn about Overnight Camp ?,Campers can share stories with others when having meals .
Which of the following statements is correct ?,"At some crossroads , drivers need n't stop or go slow ."
What we can learn from the passage is that,Boryeong Mud Festival was originally held to advertise for their mineral resources
The launch of Tiangong -- 1,is part of China 's plan to set up a station in space
Which of the following is NOT true according to the description about American crocodiles ?,American crocodiles like to float with their eyes and nose below the water surface .
Which question does the writer really try to answer ?,Do the houses we imagine reflect who we are ?
The title of the passage should be,Short stature and short life
"According to Caitlin Kelly ,",performing your regular duties well is important
Why did Russia insist that only Russian divers can work inside the submarine Kursk ?,Because Russia feared that the top secrets inside the Kursk will be let out .
What is the purpose of the passage ?,To introduce an effective way of improving students ' writing .
Many people came to see Elizabeth when she graduated,because they did n't believe she would be famous in the future
What can we infer from the passage ?,The number of grey wolves is smaller than that of deer .
"The moon 's pull has a weak effect on the oceans on the opposite of the Earth,",but it can still make a high tide .
Which of the following is true ?,McCarty was given many honors because of her good deeds .
What does the author mainly want to show in the passage ?,Life is determined by our attitude towards it .
Which of the following may not contribute to the e - bike 's going mainstream ?,The price for e - bikes has come down greatly .
The much - feared M - day was,the previous Friday when Michelangelo virus was due to strike
What dose Alan Rinzler suggest that children should do ?,Be professionally guided
The passage tells people around the world,to protect    the environment
What troubles industries most in dealing with the dangerous waste problem ?,How to cut down the related costs .
From the passage we learn that,high blood pressure is a kind of chronic disease
Which of the following can be the best title for the text ?,The changing faces of charity
From the passage we can conclude that,the boy had great courage and determination
What is the article about ?,A new device that can check whether online rumors are true or not .
The author tells the story of the fisherman doll to show that,her dolls have fine details
People in the class acted strangely because,I mistook what the homework was about
The 11 oil ministers decided to meet on July 3 so that,they can have a discussion about the effects of Iraq 's temporary output stop
The passage is written to    ,introduce mobile payment
Why does the writer thank Mr. Rose at the end of the passage ?,Because Mr. Rose taught him to face life with positive expectation .
Which is the possible reason why Ebola spreads in West Africa quickly ?,Three western countries share a border .
Which of the following is NOT true ?,The two girls have two brothers .
How does the panel work ?,It sends heat away right into space .
According to the passage parents and coaches should,pay more attention to letting children enjoy sports
Which of the following is right ?,The earthquake happened before the tsunami .
What should you do if you need a special diet ?,Tell the organizer while booking .
"The deep sea is dark and mysterious , but    ",a kind of glowing fish has been found there .
Which statement is NOT TRUE according to the passage ?,Sweden is the earliest country to use mobile phones
It is implied in the passage that,students are evaluated continuously
Why the man became famous in the end ?,Because he had to sing .
Some middle schools in Australia have banned students from carrying mobile phones,when they are at school
The A&E department is incredibly busy because,players ' arrival disturbs the work of the A&E department
In what way can the surveillance camera benefit the public ?,By helping keep social safety .
What does the slogan of M&Ms mean ?,The chocolate is not easy to melt in the sun .
What did the writer decide to do when he saw friends shopping for Father 's Day presents ?,Buy a present for his mother .
Which of the following about Jane Austen is TRUE ?,Many of the places she visited in Bath are still available .
"On January 16 , 1996 , the daughter felt that her father",seemed to be a little different
What is not mentioned    in the passage ?,How the differences between British English and American English came about .
The best title would be,The ABCs of Allergies
Which of the following is Not right ?,Bill and Ann are still playing basketball .
Which of the following is TRUE ?,We can see films by computers .
What should people do first if they want to get a gift ?,Add the magazine to their cart .
Jack goes into the restaurant because,he ca n't find a seat at the station
What caused the crash ?,Holly stepped on the gas pedal instead of the brakes .
Why did the elderly couple pay the bill of the two young couples ?,Because they were happy to pass the love they gained .
What 's the best title    of the passage ?,My grandpa loves sports
The people in the restaurant all ran out because   ,they wanted the horse eat fish
Which is NOT true ?,The students seldom have pork for lunch in the dining hall .
What is the author 's purpose to write this passage ?,To offer some useful advice for traveling .
Which of the following statements is true according to the passage ?,Mandela kept on studying laws even when he was in prison .
"When you have good study habits , you will",both A and B
"According to Desley Boyle 's prediction , what will happen when the 6-month contract is over ?",The : best job in the world : winner will choose not to leave the island .
What do you think would be the best title for the passage ?,Human Factors in Accidents
How did Su Su write the book ?,She wrote it in English first and then translate it into Chinese .
How did John Baur and Mark Summers invent the special holiday ?,They thought out the idea by chance and imagination
Which of the following sentence is true ?,"The girl wanted to be more beautiful , so she decided to wear the hair clip ."
"In the future , we 'll be no longer so afraid of earthquakes",with the help of scientists ' exact prediction
We can infer from the passage that,good eating habit may help students keep away from drugs
The purpose of the article is to,compare queuing in two cultures
The writer uses a question at the beginning of the passage to,attract the readers ' attention to the topic
Which of the following expresses the main idea of the text ?,The Great Apes Project did a good job .
"The best title for the passage would be ""  ",New Year celebrations around the world
How do some researchers now look at routine cancer screening for the elderly ?,They are doubtful about necessity .
Both MaCain and Obama agree with each other in the following issues except,China 's rising global power is a threat to its neighboring countries
"The scientist started the "" laugh lab "" project",to find out the differences between the male 's and female 's sense of humor
"We can know that if nobody spoke the languages of smaller cultures ,",many of the words for things we do not know would be lost
Which of the following might be the best title of the passage ?,Talking with Young Children about Alcohol
Which of the following statements is n't right ?,You should take off your shoes first after you step into the host 's door .
What can we learn about old women in terms of fashion ?,They are now mole easily influenced by stars .
"The explorers in H. G. Well 's story were surprised to find that the "" moon people """,lived in so many underground cities
What does the writer want to tell us ?,Social media can be bad and dangerous .
At last the thief,runs away
Bonner came to know the Palos Verdes blue after he,"met Dr. Mattoni , a professor of biology"
Which of the following is true ?,The applicants should show either a Hong Kong visa or a Hong Kong ID card .
What does the University of Melbourne study mainly show ?,Surfing the Internet for fun during office hours increases productivity .
From the passage we can see that,Sydney 's landmarks were out of sight when the storm happened
Which of the following   is TRUE according to the article ?,"When the tasks started switching quickly in the test , the women in the study were more likely to take extra time to think ."
James ' wife left because,James failed to keep a balance between charity and home
"In the film Moneyball , Beane",is in charge of the Oakland A 's
The FBI was begun in order to,fight crimes scientifically
"From the account above , which of the following statements is true ?",He is a hard - working writer .
The eggs of spittlebugs,have to pull through a winter before they hatch
Why did the public first disapprove of digital photography ?,The pictures were not as good as those by a film camera .
The purpose of writing the passage is to,introduce Internet dating to us .
People who are into Lomo are mostly,about 20 years old
The best title for this passage is,Meeting Disasters During Honeymoon
What is the skeptics ' view of media violence ?,Most studies exaggerate    the effect of media violence on the viewers .
Which can not be inferred from the passage ?,Glenn did n't catch what the doctor told his mother so he did n't worry about his burns .
The reason why there was great interest in Flight STS-51-L is that,a young secondary school teacher was on the flight
Which of the following is Howe 's final solution to his problem ?,Making a small hole in the needle .
From the passage we learn that,Robo - Guard may serve as a security guard
"According to the changed car tax , if you have a lower - carbon car , you will pay",less road tax
Which is the best title for the passage ?,Mountain Lions in Unlikely Places
Miss Wang,loves her job
Which of the following can be the best title for the passage ?,A Test of Love
What happened on the author 's graduation day ?,His parents came together with Mr . Walker .
Which of the following is TURE ?,A card of Family Returns can only be used for two months .
"What made the young woman feel strange about the "" old woman "" ?","The fact that the "" old woman "" kept nodding her head ."
Which sentence is right ?,That evening he has a bad cold .
From the passage we learn,today in most large cities water is used only once
What was Tommy 's hobby ?,Playing badminton .
What does the passage mainly talk about ?,Too much red meat consumption contributes to ill health .
"If we teach animals carefully ,",some animals can do the same things as man does .
It can be learned from the passage that,some animals also have a code of ethics like human beings
Which kind of teachers can be story - writing teachers ?,Teachers who love both teaching and writing .
Which of the following is wrong according to the passage ?,A woman went to live with her husband in a big city .
"According to the text , Tesla Autopilot",is n't safe in crowded areas
What did Misbah desire most in his childhood ?,Peace and freedom .
Why did Martin hate his company 's team meeting ?,Because the meeting atmosphere was n't open and trusting .
A bank run happens when,too many depositors try to draw out their money at one time
.What might be the best title for the text ?,Rainforests and the Environment
"To pay with your smart phone , you need to",have a credit card
"When she was over fifty , the late 19th century mother",was unlikely to find a job .
Which of the following is true ?,body language is important when trying to communicate across cultures
What does Bob 's wife give him for dinner ?,Some bread .
"From the passage , we know that the king",was a kind man
Why did Isaksen advise people not to have foreign pets ?,We do not know much about them yet .
The best title for this passage is,"Prince , a clever , well - trained dog"
"If you need to decide where to invest your money , you must use your     ",rational thinking
What is the main idea of this passage ?,Two factors account for guilty sense .
The text is written mainly to,introduce Wambugu 's contribution to genetic engineering
The king felt very unhappy . He wanted,to be a happy man
The mistake on the stamps was made,in Mauritius
What is the passage mainly about ?,saving premature babies with an idea from nature
Which is the best title for this passage ?,My schooldays
What would be the best title for the text ?,Each day is a gift
What 's the main purpose of the online blog campaign started by Yu Jianrong ?,To gain support from charities and other social institutions .
Which of the following sentences is NOT right ?,Joan and Lily are in the same class .
Scott Langteau published Sofa Boy to,warn kids against game addiction
Wealthy people in Britain have been hunting foxes to,get entertainment
What is the main idea of the text ?,Mr Hennen loved his newspaper carrying work .
"After Edison failed 10,000 times , he",invented the light bulb
The function of protein is,to make you feel energetic
The change in women 's attitude towards marriage results in all of the following EXCEPT,more and more women quit ( leave ) jobs to take care of their children at home
Many people do n't want to let go of some of their belongings because   ,they fear their memories will be gone with the thrown - away stuff
The program of using iPads in class is,only an experimental one carried out in some schools
The knowledge one gains by traveling in a foreign country is often,different from what one had before the travel
Which of the following is RIGHT ?,Radio is important in the writer 's life .
What can we infer from the passage ?,People can watch the 1200-mile race on the net this year .
Over dependence on the smartphone leads to the fact that,people 's communication skills are weakened
A small party will be held,at Mr. Jones ' house
The best title   of the passage is,Good study habits .
Which of the following is TRUE about the grandmother ?,She felt sad when the star was missing .
What would be the best title for the text ?,Face Transplants -- No Longer Science Fantasy
What 's Li Lei 's friend 's name ?,Jack
Why is grouping children by ability becoming popular again ?,Because it is academically beneficial to different learners .
Which of the following statements is TRUE ?,Every snowflake is different from the other one .
Which book of the above can she buy for Marry 's older mother ?,Disease Free
What is argued about in this passage ?,Elephants should not be on display .
"It is still hard to reduce traffic problems , because",more vehicles will be sold globally each year .
The boss gave John a task because,he wanted John to learn more about himself
The writer of this passage is most likely to be,a reporter
We know from this passage,the young man might have the same name as the old man 's son
Which of the following is TRUE in this letter ?,Paul Likes going to the movies on weekends .
"According to the text , people who suffer bladder cancer   ",often have urine with unusual smell
Where does he get off the train at last ?,the next station to his work place
What is the biggest difference between the AeroMobil 3 . 0 and other airplanes ?,It can take off from a stretch of grass .
The Car - puccino has its disadvantages EXCEPT that,it makes a lot of noise
Why does the author mention Rothko 's uncompleted book ?,To suggest Rothko 's unique personal painting style .
Which fact can NOT explain why soap is important ?,It gets all people into the habit of washing hands .
What can we learn about old women in terms of fashion ?,They are now more easily influenced by stars .
"When the project is completed , US military will",have a clear picture of almost every part of the world
Mary studies in,a Chinese school
What is the disadvantage    of picture signs ?,They may have different meanings in different countries .
Which of the following statements about Tennessee William is true ?,Tennessee William was a major voice who spoke for the troubled people in southern America .
The passage implies that,Many people over the world enjoy a good taste of chocolate .
Which of the following could be the best title of the passage ?,Presidential1 coin issued .
What can Ramona do ?,She can talk with her visitors .
"Most probably , a man with Dutch courage would",beat a strange passer - by without any reason .
The topic of the passage may be    ,keep your life active
Mr. Baker tried his best to catch the horse to,beat it up
Which of the following statements about the cliques is TRUE ?,.Chques help improve children 's self - respect
Where does lava come from ?,It is from deep part in the earth .
"Kate and her family want to choose an activity during the May Day holiday , they can choose",survival techniques
The whale 's explosion is the result of,pressure from gases building up in the creature as it began to rot
What is the solution to the problem of managing time ?,Doing what you want to do first .
"According to the passage , the vase",was a present from Sarah 's father
"Before the stream reached the desert , she did n't",worry about the journey to the ocean
What 's the passage mainly about ?,What needed to be a winner .
What might happen if the patent system is changed ?,Millions of lives will be saved in poor countries .
Which of the following belongs to the type of moderate inflation ?,Incomes and relative prices rise slightly
"To achieve his music dream , Artie Shaw",began playing in bands across the United States
What is the result of having HSAM ?,All the above .
One of the moves Prince Charles will take to reduce the royal impact on the environment is    .,taking scheduled flights instead of helicopters
The boat was considered unusual because,it looked strange in several ways
Which of the following statement is true ?,Teenagers are allowed to have many friends .
We can learn from the passage that Sabur is,the world'syoungest college professor
We can learn from the passage that,Charlie Chaplin made 35 short films in total in 1914
"If you have exercised too much ,",your breathing will take longer than 5 minutes to return to normal after you finish exercising
What does the passage mainly tell us ?,Scientists are working to improve robots .
Why are there few large animals in deserts ?,They ca n't protect themselves from the heat .
People who are farsighted,can not do a lot of close work without glasses
The writer seems to support the statement that,tests should help students find areas where they are struggling
"To reduce the energy required to produce bottled water , some companies are trying",to produce lightweight bottles with recycled materials
Jodie gave her father a big kiss mainly because,he was unselfish
"In the old policeman 's opinion ,",the old man insulted their hometown
Confucius thought,people should work for others
What can we infer about Chris Richardson ?,He used to work as a salesman .
Which of the following is True according to the passage ?,The occupy protests are announced illegal and harmful for the business .
The Feast of the Seven Fishes is held to remember,the birth of the baby Jesus
David 's greatest problem is that,he ca n't be treated as an adult by the bank .
Man will also have supersonic land travel,about a century later
What is the author 's purpose in writing the text ?,To introduce an apple festival .
"You can not see the book when you close your eyes , because",the light from it can not get into your eyes
Which sentence best express the central point of the passage ?,We become stronger by facing and solving problems of life .
Which of the following is NOT TRUE according to the passage ?,The farmer 's family had no friends at all .
Why did the writer stop his cart outside Sir Henry 's garden wall ?,To make way for a bus .
What 's the advantage of traveling around London by taxi ?,You can go wherever you want to go
Mr Smithis good at,Spanish
What did the author 's wife do for the two women ?,She ordered a cake for them .
"When it comes to the bills , every member is advised to",pay his / her own share of money
"For one who does n't mind traveling a lot , which of the positions above can be considered ?",Senior Interior Designer .
"At the request stop that evening , the girl",made no attempt to stop the bus
Many tours are timed for people to,enjoy the fantastic eruption against the darkening sky
Which of the following statements is TRUE ?,Our level of responsibility can be strongly affected by the outcomes of our actions .
Economics can help one make better decisions because he learns,how to weigh the cost and the benefit
The main idea of this passage is,excellent students in the mainland now have a new choice for higher education
Which of the following do intellectual property rights not cover ?,Pirated music .
Which of the following is FALSE according to the passage ?,K2 was once called Col . H. H. Godwin .
What kind of shyness can be bad according to the passage ?,You have a red face when you 're asked to answer a question in class .
Which of the following statements is TRUE according to the article ?,Some experts believe that earthquakes could make landslides more likely to happen .
Which of the following was made into a popular film ?,The polar Express
Which of the following materials are not needed in this course ?,flour and vinegar
"If students pass the independent exam , they will",have one or more interview chances .
Why did some teachers and researchers carry out PEEL ?,To help normal teaching methods achieve their goals .
The text mainly tells about,American museums with health subjects
Which of the following statements is TRUE ?,The state of Victoria is playing a leading role in greywater use .
What will Dr. Heffernan and Dr Terence O'Neil do ?,Investigate the effects of third - hand smoking .
The price of hostels was low because,people brought their own equipment
What 's the best title for the passage ?,Teenage Rebellion
Which of the statements about Mary Cassatt is supported by the passage ?,Her painting featured scenes of everyday living
"With her story "" Car Talk "" , the author indicates that",family members need real communication
Which of the following is NOT true ?,St. Lawrence Islands ' establishment marked the beginning of Canada 's national park system .
Why was the boy forced to stop working for the old man ?,The boy could n't earn enough money with the old man .
This article is particularly written for,parents
What did the musician 's and the watchmen 's reactions to the author 's behavior mean ?,They thought what the author did was right .
It can be inferred from the passage that,family systems belong to culture
Why did Mrs. Jackson put the fish near the open window ?,Because she wanted to cool the fish .
"According to the passage , you can do everything when you get angry except",say bad things to the people around you
It can be learned from the article that,drugs can be used to control people 's serotonin levels
At last,Mr White fooled the old man .
The author mentions Elizabeth L. Cline 's book to,show his disagreement with her idea
"To make yourself a "" true photographer"",you","had better try to set the scene modes , lighting , and zoom by hand"
"What do American people mean by asking for a "" doggie bag "" ?",They will take the food home .
"According to the author , the fashion industry",does not bother to make clothes for fat people
"Once seeds of some vegetables and crops are sent into space and back ,",all of them do n't produce bigger crops
"Through "" Alive and Well "" , parents of runaway children",can say nothing to their children
Food is stored in roots or stems in the form of,starch
Which of the following is true according to the passage ?,The author has n't dreamed of getting rich instantly
Who told the writer the news of her husband 's illness ?,The writer 's niece .
What Kazushi Arisawa said means,He could n't find many customers .
The following statements are included in the study of dynamics except,the design and construction of skyscrapers
"According to the text , you lose your memory by",hardly using your brain
It can be inferred from the passage that,most vegetarians believe that life without meat is happy .
The sitting - rising test was first designed,to assess the flexibility of athletes .
2010 was declared as the International Year of Youth because,many children are suffering from ill - treatment and neglect
Which of the following could be the best title for the passage ?,A folk music hero
The difference of the two main kinds of sloth lies in that,the three - toed is generally lazier
Thomas Edison is spoken of because,he got some of his ideas from dreams
What is the main idea of the passage ?,People tend to fib using gadgets .
What can we know from US economist Dan Ariely 's experiment ?,The students actually did n't know what the lecture was worth .
What can we learn from the text ?,A pet wolf can become aggressive at any moment .
"By saying "" If I could do more for you I would ... "" , the old woman means",she would like to help Molly as much as possible
What CANNOT you read in Beijing Today ?,fashion trends in Paris .
Over which issue Adam Harrison showed his concern ?,The plantation of oil palms will affect the native environment .
From the passage we can know,Tokay gecko is common in Laos
What is the article mainly about ?,Jean Tirole Wins Nobel Economics Prize .
Which of the following is true according to the passage ?,"While in Africa , McGrady behaved considerately ."
The text mainly tells us   ,how to face the change in friendship
A modern farmer can hardly move to another place as he did before because,there are few free fields left for him to do farming
"According to a surgeon and psychologist , it is better to",make a reasonable decision
From this passage we know that we feel differently in different kinds of weather because,our bodies deal with different kinds of weather in different ways to keep the same temperature .
Which of the following shows the differences between Dickens ' books and television dramas ?,The television dramas are more exciting than the books .
What is the secret of the success of Adu according to the passage ?,All of the above
A club is n't really a club if,only your friends want to join it
Which is Not true according to the passage ?,Actresses never worry about their looks .
Where should passengers buy their tickets ?,At the station before boarding .
"Consumers can buy the "" Talk to the Hand "" gloves",when they are mass produced
"When we study a foreign language , we should",put communication first
"If a writer writes something , it means that he or she",needs to understand it better
The official mentioned in this passage,does n't understand why hand - held cell phones alone should be banned among many others
Which of the following may be the best title for the passage ?,China closes poultry markets .
What did the author mainly want to show by mentioning his friend in high shool ?,Friends should respect one another .
We learn from the passage that women choose chunky heels because,they want to walk comfortably
What 's the purpose of this passage ?,To provide advice on promoting better sleep at night .
What would be the best title for the passage ?,"Experts clarify worries over "" supermoon """
A search group formed by some American scientists .,took some pictures which seemed to show a monster
What is the writing purpose of the passage ?,To encourage the application of green building .
"The "" recover "" rule mainly requires us",to get back the useful parts
Which of the following statements is true according to the passage ?,Emotions have delicate influence on fellow humans .
What is mainly discussed in the text ?,A special reading program .
What can we know from the passage ?,The old farmer might be changed by reading .
Which is NOT true ?,Scientists can prove that the Hanging Gardens of Babylon has ever existed .
What does the wall in Frost 's poem stand for according to the author ?,The distance between neighbors .
"The passage mentions "" the African savannah "" to show that",color1 preference has its historical origins
Which of the following might be the best title of this passage ?,Friends of the Road
What 's the coolest kind of transportation according to the passage ?,A pair of Heelys .
Why did Bob rarely smile when he was in front of the camera ?,Because he thought that his job did not matter much to anyone .
What 's Winston 's advice about ?,How to keep phone calls short .
From the text we can infer,Colin Firth has many sides in personality
Why might Robby have stopped coming to piano lessons suddenly ?,His mother might have been seriously ill .
According to the passage we can learn that,a practical goal can help people to achieve a sense of success
The main problem of Yosemite Park is its,overcrowdedness
Tests were carried out in outer space in order to,prove the theory
From the passage we learn that,the newspaper would be more popular
How much did the children get in total ?,85 yuan .
"The reason why Jung Ji Hoon is called "" Michael Jackson of Korea "" is that",his dancing skills are amazing
What we can learn from the passage is that,both festivals win good recognition from a wide audience
How large are the biggest kangaroos ?,Bigger than a man .
What is NOT true of this new research ?,Researchers have provided supporting scientific evidence
The four boys all like,playing soccer
The writer likes Middle America best because   ,he feels the real character of the nation here
What do we know about South Korean annual national exams ?,Many of the Senior 3 students ca n't have enough sleep .
Which of the following is NOT true according to the passage ?,Little Hans ' father would pay hiswayto Copenhagen .
You feel in Macao you are back in the old days because,you go about and look at the old buildings and forts with pleasure
The passage is mainly about,how I changed my attitude towards iPhone
Which is NOT true according to the passage ?,Anyone around the world can enjoy the service of Google Flu Trends .
Which of the following is NOT true about Face book ?,Face book is considered more important than iPod to the students of the UK .
The best title for the passage is,A Brief Account of Madam Curie
The big fire in Yellowstone in 1988,brought the natural burn policy to an end
Which of the following statements about the activities in Long Beach is TRUE ?,Tent camping is not allowed on the beach .
"Among the causes of walkers ' accidents , the most serious problem is .   ",alcohol
When does creativity become useful to us and others ?,When thought is turned into action .
The County Council needs local people to,collect information about harvest mice
The main idea of this passage is that,a person was found who actually did n't need any sleep
"The words "" heavy people "" means",people who are fat
"From the passage , we know that .",Not all the people are satisfied with the move .
"From this story , we have learned that",a friend in need is friend indeed
Chen Feng,is a member of the school basketball team
Which of the following is NOT true ?,Dogs can help people make everything .
We can infer from the text that,the school has strict rules on uniforms
What do you think is the main idea of the passage ?,feathers made into flowerpot
"The book entitled Thank You , Mr. Falker is about",Polacco 's early experience with reading
What 's the best title for the passage ?,Better Parents Are Needed
Which of the following is TRUE according to the letter ?,The writer visited Gramps quite often .
What can we know from the passage ?,Some new English words are borrowed from other languages .
The following details about Canada are all true EXCEPT,Canada 's fishing industry is not developed
What contribute most to their success according to the author ?,Learning by trial and error .
In what way does the study challenge people 's traditional belief ?,History of the Amazon rainforests .
What can we learn from the passage ?,We should find the most suitable    things for us to do .
What is the passage mainly about ?,The Manx language .
The trousers mentioned in the passage,can help make air pollution less
It can be inferred that the man in Advertisement 1,has a car
What can we learn from the passage ?,Downhill skiing used to be more difficult to learn because of the old - fashioned skis .
We can learn from the passage that,Li Na is a fashionable girl
Which of the following can we learn about self - confidence according to the passage ?,Parents and friends matter in building one 's self - confidence .
How did the goats react after eating the plants ?,They started jumping up and down .
What is the best title of the passage ?,Bognor Regis ' clown festval .
Dogs and people use,a low sound to keep others away
What can we learn from the passage ?,It is very cruel to kill the animals in the way mentioned in the passage .
Which exhibition can you attend in October ?,Sunken cities : Egypt 's lost worlds
It could be inferred from the passage that the author believes,the competition in business plays a very important role in America
Which of the following animals were NOT mentioned in the passage ?,Cats .
"According to the text , the expression "" get one 's act together """,was commonly read by readers in a newspaper in 1978
The passage mainly tells us,how to have a nice weekend
Which of the following is NOT the reason for the decrease in the number penguins ?,Natural disasters .
The best title for this passage can be,Skinny Player -- new type of MP3 player
"According to the text , which type of behavior is NOT expected of a man by society ?",Complaining about his marriage trouble .
Which of the following is the disadvantage of an autopilot system ?,It might not respond properly to unexpected situations .
The movie The Talented Mr. Ripley tells us a story of a man who,contributes to helping a man out of trouble
"According to the passage , we can infer that","if the government could help solve poverty , there would be less killing of elephants ."
The purpose of this advertisement is,to show the procedure of ordering books online
The author agrees with Lynne Truss in that,grammar mistakes ca n't be tolerated
Which sentence is true ?,Most people have a favorite color
What would be the best title for this text ?,What Do We Know about Global Climate Change ?
Which of the following can be the best title ?,Why These Parents Decided Not To Celebrate Christmas .
"What is the most important measure to deal with "" mobile - phone acouasm "" ?",To get rid of pressure from work .
What can we conclude from the article ?,The new method for extracting germanium that the Freiburg scientists are trying is greener and cheaper than the traditional one .
In the passage the students are told to,"stop surfing , make friends"
The key words for the passage are,passion and stress
What do we know about the writer ?,She did n't pay enough attention to Kevin before .
Which of the following statements is TRUE according to the passage ?,Everything you learn at school has some influence on you
Who must call in advance before visiting the museum ?,Any group of more than ten people .
Kohl wanted to look for a homestay in China because he,hoped to learn Chinese language and culture further
The software mentioned in the passage is based on,a traditional Chinese medical principle
The moment the author got down to the river bank he saw,Ma Shwe was holding the calf against the rushing water
What is the author 's purpose of writing the text ?,To introduce the history of April Fools ' Day .
What does Roy want to be ?,He wants to be the best swimmer in his school .
"In the writer 's opinion , it is rewarding on Black Friday",If we get what we want at a good price
It can be inferred from the text that,adjustable desks are easy to operate
What would be best title for the passage ?,Leaving Home
Which of the following is the best title for the passage ?,Salt Is More Than a Four - letter Word .
Scientists are still not sure about Kepler-78b    ,why it circles so close to its host star
"According to the passage , which of the following statement is true ?","Mr. Jefferson , the third President of the United States , was a man of good manners ."
Santa Claus often puts the presents,into children 's stockings
"To avoid ironing the clothes over again , one should",spare no care through all the procedures
"At the beginning , Special English program was",doubted by some professionals
"What happened to the author on September 11th , 1958 ?",He got a baby brother .
The turning point in Saunders'life came when,he got a mountain bike at age 15
From the passage we can learn that,the Earth 's turning motion causes the sun to rise in the east
It can be inferred from the passage that,only strong beliefs ca n't ensure you a promising future
This article is probably from,a science magazine
What does the author mainly want to express by telling her story ?,She valued human feelings more than before .
The main purpose of the school - to - work program is to,make what students learn in school related to the workplace
This passage is mainly written to,give us some information about British pubs
The match between AlphaGo and Lee Sedol is mentioned at the beginning of the article mainly to,get the reader to think about AI
"If parents have trouble with their relationship , the child",will feel guilty about the trouble
"For someone interested in knowing more stories about dogs , the author suggests that he .",search the Internet
What did Jimmy 's neighbor really want him to do ? To,stop him making noises
"According to the passage , an increase in industrial production can",offer more working opportunities
The purpose of the author is,to give us some useful suggestions
The text is mainly about,telling the story through pictures
Which of the following is the best title for this passage ?,William Henry Bragg 's Productive Life
Which of the following may be the best title of the passage ?,The science of love at first sight
Which of the following statements is WRONG about the second type of friend ?,"They are called "" pest friends "" by the writer ."
Why does Raghave think he can live a long life ?,Because he developed good living habits .
"According to Theory Second , the disaster happened to the Titanic mainly because",the mirage made the watcher not find icebergs and a nearby ship delay rescuing
What 's the main idea of the passage ?,A massive earthquake struck the city of Christchurch of New Zealand .
What are Tony 's favorite food and drink ?,Juice and oranges .
John 's face turn red because,he feels shy
It is difficult to learn names all over the world because,the names in different countries are different
The dance project aims to,help the street children receive some education
What 's the best title for the passage ?,Helpless Love .
What does the passage mainly talk about ?,The damage of carbon monoxide and how it works .
From the passage we can conclude that frequent heading may have,significant effect on one 's brain
The study on bossy behavior implies that parents,should be strict with their children
"According to Jessica , the cupcakes   ",Should't be banned at school
"When the three students fell into water , the university students were",taking photos at the lake
